Shot Number,Number of events (secondary e.),Anode ID,Electrons in wire,Gas amplification  coefficient
14,1,0,0,1
14,1,1,0,1
14,1,2,0,1
14,1,3,0,1
14,1,4,0,1
14,1,5,0,1
14,1,6,0,1
14,1,7,0,1
14,1,8,0,1
14,1,9,0,1
14,1,10,0,1
14,1,11,0,1
14,1,12,0,1
14,1,13,0,1
14,1,14,0,1
14,1,15,0,1
14,1,16,0,1
14,1,17,0,1
14,1,18,0,1
14,1,19,0,1
14,1,20,0,1
14,1,21,0,1
14,1,22,0,1
14,1,23,0,1
14,1,24,0,1
14,1,25,0,1
14,1,26,0,1
14,1,27,0,1
14,1,28,0,1
14,1,29,0,1
14,1,30,0,1
14,1,31,0,1
14,1,32,0,1
14,1,33,0,1
14,1,34,0,1
14,1,35,0,1
14,1,36,0,1
14,1,37,0,1
14,1,38,0,1
14,1,39,0,1
14,1,40,0,1
14,1,41,0,1
14,1,42,0,1
14,1,43,0,1
14,1,44,0,1
14,1,45,0,1
14,1,46,0,1
14,1,47,0,1
14,1,48,0,1
14,1,49,0,1
14,1,50,0,1
14,1,51,0,1
14,1,52,0,1
14,1,53,0,1
14,1,54,0,1
14,1,55,0,1
14,1,56,0,1
14,1,57,0,1
14,1,58,0,1
14,1,59,0,1
14,1,60,0,1
14,1,61,0,1
14,1,62,0,1
14,1,63,0,1
14,2,0,0,1
14,2,1,0,1
14,2,2,0,1
14,2,3,0,1
14,2,4,0,1
14,2,5,0,1
14,2,6,0,1
14,2,7,0,1
14,2,8,0,1
14,2,9,0,1
14,2,10,0,1
14,2,11,0,1
14,2,12,0,1
14,2,13,0,1
14,2,14,0,1
14,2,15,0,1
14,2,16,0,1
14,2,17,0,1
14,2,18,0,1
14,2,19,0,1
14,2,20,0,1
14,2,21,0,1
14,2,22,0,1
14,2,23,0,1
14,2,24,0,1
14,2,25,0,1
14,2,26,0,1
14,2,27,0,1
14,2,28,0,1
14,2,29,0,1
14,2,30,0,1
14,2,31,0,1
14,2,32,0,1
14,2,33,0,1
14,2,34,0,1
14,2,35,0,1
14,2,36,0,1
14,2,37,0,1
14,2,38,0,1
14,2,39,0,1
14,2,40,0,1
14,2,41,0,1
14,2,42,0,1
14,2,43,0,1
14,2,44,0,1
14,2,45,0,1
14,2,46,0,1
14,2,47,0,1
14,2,48,0,1
14,2,49,0,1
14,2,50,0,1
14,2,51,0,1
14,2,52,0,1
14,2,53,0,1
14,2,54,0,1
14,2,55,0,1
14,2,56,0,1
14,2,57,0,1
14,2,58,0,1
14,2,59,0,1
14,2,60,0,1
14,2,61,0,1
14,2,62,0,1
14,2,63,0,1
14,3,0,0,1
14,3,1,0,1
14,3,2,0,1
14,3,3,0,1
14,3,4,0,1
14,3,5,0,1
14,3,6,0,1
14,3,7,0,1
14,3,8,0,1
14,3,9,0,1
14,3,10,0,1
14,3,11,0,1
14,3,12,0,1
14,3,13,0,1
14,3,14,0,1
14,3,15,0,1
14,3,16,0,1
14,3,17,0,1
14,3,18,0,1
14,3,19,0,1
14,3,20,0,1
14,3,21,0,1
14,3,22,0,1
14,3,23,0,1
14,3,24,0,1
14,3,25,0,1
14,3,26,0,1
14,3,27,0,1
14,3,28,0,1
14,3,29,0,1
14,3,30,0,1
14,3,31,0,1
14,3,32,0,1
14,3,33,0,1
14,3,34,0,1
14,3,35,0,1
14,3,36,0,1
14,3,37,0,1
14,3,38,0,1
14,3,39,0,1
14,3,40,0,1
14,3,41,0,1
14,3,42,0,1
14,3,43,0,1
14,3,44,0,1
14,3,45,0,1
14,3,46,0,1
14,3,47,0,1
14,3,48,0,1
14,3,49,0,1
14,3,50,0,1
14,3,51,0,1
14,3,52,0,1
14,3,53,0,1
14,3,54,0,1
14,3,55,0,1
14,3,56,0,1
14,3,57,0,1
14,3,58,0,1
14,3,59,0,1
14,3,60,0,1
14,3,61,0,1
14,3,62,0,1
14,3,63,0,1
14,4,0,0,1
14,4,1,0,1
14,4,2,0,1
14,4,3,0,1
14,4,4,0,1
14,4,5,0,1
14,4,6,0,1
14,4,7,0,1
14,4,8,0,1
14,4,9,0,1
14,4,10,0,1
14,4,11,0,1
14,4,12,0,1
14,4,13,0,1
14,4,14,0,1
14,4,15,0,1
14,4,16,0,1
14,4,17,0,1
14,4,18,0,1
14,4,19,0,1
14,4,20,0,1
14,4,21,0,1
14,4,22,0,1
14,4,23,0,1
14,4,24,0,1
14,4,25,0,1
14,4,26,0,1
14,4,27,0,1
14,4,28,0,1
14,4,29,0,1
14,4,30,0,1
14,4,31,0,1
14,4,32,0,1
14,4,33,0,1
14,4,34,0,1
14,4,35,0,1
14,4,36,0,1
14,4,37,0,1
14,4,38,0,1
14,4,39,0,1
14,4,40,0,1
14,4,41,0,1
14,4,42,0,1
14,4,43,0,1
14,4,44,0,1
14,4,45,0,1
14,4,46,0,1
14,4,47,0,1
14,4,48,0,1
14,4,49,0,1
14,4,50,0,1
14,4,51,0,1
14,4,52,0,1
14,4,53,0,1
14,4,54,0,1
14,4,55,0,1
14,4,56,0,1
14,4,57,0,1
14,4,58,0,1
14,4,59,0,1
14,4,60,0,1
14,4,61,0,1
14,4,62,0,1
14,4,63,0,1
14,5,0,0,1
14,5,1,0,1
14,5,2,0,1
14,5,3,0,1
14,5,4,0,1
14,5,5,0,1
14,5,6,0,1
14,5,7,0,1
14,5,8,0,1
14,5,9,0,1
14,5,10,0,1
14,5,11,0,1
14,5,12,0,1
14,5,13,0,1
14,5,14,0,1
14,5,15,0,1
14,5,16,0,1
14,5,17,0,1
14,5,18,0,1
14,5,19,0,1
14,5,20,0,1
14,5,21,0,1
14,5,22,0,1
14,5,23,0,1
14,5,24,0,1
14,5,25,0,1
14,5,26,0,1
14,5,27,0,1
14,5,28,0,1
14,5,29,0,1
14,5,30,0,1
14,5,31,0,1
14,5,32,0,1
14,5,33,0,1
14,5,34,0,1
14,5,35,0,1
14,5,36,0,1
14,5,37,0,1
14,5,38,0,1
14,5,39,0,1
14,5,40,0,1
14,5,41,0,1
14,5,42,0,1
14,5,43,0,1
14,5,44,0,1
14,5,45,0,1
14,5,46,0,1
14,5,47,0,1
14,5,48,0,1
14,5,49,0,1
14,5,50,0,1
14,5,51,0,1
14,5,52,0,1
14,5,53,0,1
14,5,54,0,1
14,5,55,0,1
14,5,56,0,1
14,5,57,0,1
14,5,58,0,1
14,5,59,0,1
14,5,60,0,1
14,5,61,0,1
14,5,62,0,1
14,5,63,0,1
14,6,0,0,1
14,6,1,0,1
14,6,2,0,1
14,6,3,0,1
14,6,4,0,1
14,6,5,0,1
14,6,6,0,1
14,6,7,0,1
14,6,8,0,1
14,6,9,0,1
14,6,10,0,1
14,6,11,0,1
14,6,12,0,1
14,6,13,0,1
14,6,14,0,1
14,6,15,0,1
14,6,16,0,1
14,6,17,0,1
14,6,18,0,1
14,6,19,0,1
14,6,20,0,1
14,6,21,0,1
14,6,22,0,1
14,6,23,0,1
14,6,24,0,1
14,6,25,0,1
14,6,26,0,1
14,6,27,0,1
14,6,28,0,1
14,6,29,0,1
14,6,30,0,1
14,6,31,0,1
14,6,32,0,1
14,6,33,0,1
14,6,34,0,1
14,6,35,0,1
14,6,36,0,1
14,6,37,0,1
14,6,38,0,1
14,6,39,0,1
14,6,40,0,1
14,6,41,0,1
14,6,42,0,1
14,6,43,0,1
14,6,44,0,1
14,6,45,0,1
14,6,46,0,1
14,6,47,0,1
14,6,48,0,1
14,6,49,0,1
14,6,50,0,1
14,6,51,0,1
14,6,52,0,1
14,6,53,0,1
14,6,54,0,1
14,6,55,0,1
14,6,56,0,1
14,6,57,0,1
14,6,58,0,1
14,6,59,0,1
14,6,60,0,1
14,6,61,0,1
14,6,62,0,1
14,6,63,0,1
14,7,0,0,1
14,7,1,0,1
14,7,2,0,1
14,7,3,0,1
14,7,4,0,1
14,7,5,0,1
14,7,6,0,1
14,7,7,0,1
14,7,8,0,1
14,7,9,0,1
14,7,10,0,1
14,7,11,0,1
14,7,12,0,1
14,7,13,0,1
14,7,14,0,1
14,7,15,0,1
14,7,16,0,1
14,7,17,0,1
14,7,18,0,1
14,7,19,0,1
14,7,20,0,1
14,7,21,0,1
14,7,22,0,1
14,7,23,0,1
14,7,24,0,1
14,7,25,0,1
14,7,26,0,1
14,7,27,0,1
14,7,28,0,1
14,7,29,0,1
14,7,30,0,1
14,7,31,0,1
14,7,32,0,1
14,7,33,0,1
14,7,34,0,1
14,7,35,0,1
14,7,36,0,1
14,7,37,0,1
14,7,38,0,1
14,7,39,0,1
14,7,40,0,1
14,7,41,0,1
14,7,42,0,1
14,7,43,0,1
14,7,44,0,1
14,7,45,0,1
14,7,46,0,1
14,7,47,0,1
14,7,48,0,1
14,7,49,0,1
14,7,50,0,1
14,7,51,0,1
14,7,52,0,1
14,7,53,0,1
14,7,54,0,1
14,7,55,0,1
14,7,56,0,1
14,7,57,0,1
14,7,58,0,1
14,7,59,0,1
14,7,60,0,1
14,7,61,0,1
14,7,62,0,1
14,7,63,0,1
14,8,0,0,1
14,8,1,0,1
14,8,2,0,1
14,8,3,0,1
14,8,4,0,1
14,8,5,0,1
14,8,6,0,1
14,8,7,0,1
14,8,8,0,1
14,8,9,0,1
