Shot Number,Number of events (secondary e.),Anode ID,Electrons in wire,Gas amplification  coefficient
5,1,0,0,32
5,1,1,0,32
5,1,2,0,32
5,1,3,0,32
5,1,4,0,32
5,1,5,0,32
5,1,6,32,32
5,1,7,0,32
5,1,8,0,32
5,1,9,0,32
5,1,10,0,32
5,1,11,0,32
5,1,12,0,32
5,1,13,0,32
5,1,14,0,32
5,1,15,0,32
5,1,16,0,32
5,1,17,0,32
5,1,18,0,32
5,1,19,0,32
5,1,20,0,32
5,1,21,0,32
5,1,22,0,32
5,1,23,0,32
5,1,24,0,32
5,1,25,0,32
5,1,26,0,32
5,1,27,0,32
5,1,28,0,32
5,1,29,0,32
5,1,30,0,32
5,1,31,0,32
5,1,32,0,32
5,1,33,0,32
5,1,34,0,32
5,1,35,0,32
5,1,36,0,32
5,1,37,0,32
5,1,38,0,32
5,1,39,0,32
5,1,40,0,32
5,1,41,0,32
5,1,42,0,32
5,1,43,0,32
5,1,44,0,32
5,1,45,0,32
5,1,46,0,32
5,1,47,0,32
5,1,48,0,32
5,1,49,0,32
5,1,50,0,32
5,1,51,0,32
5,1,52,0,32
5,1,53,0,32
5,1,54,0,32
5,1,55,0,32
5,1,56,0,32
5,1,57,0,32
5,1,58,0,32
5,1,59,0,32
5,1,60,0,32
5,1,61,0,32
5,1,62,0,32
5,1,63,0,32
5,2,0,0,68
5,2,1,0,68
5,2,2,0,68
5,2,3,0,68
5,2,4,0,68
5,2,5,0,68
5,2,6,136,68
5,2,7,0,68
5,2,8,0,68
5,2,9,0,68
5,2,10,0,68
5,2,11,0,68
5,2,12,0,68
5,2,13,0,68
5,2,14,0,68
5,2,15,0,68
5,2,16,0,68
5,2,17,0,68
5,2,18,0,68
5,2,19,0,68
5,2,20,0,68
5,2,21,0,68
5,2,22,0,68
5,2,23,0,68
5,2,24,0,68
5,2,25,0,68
5,2,26,0,68
5,2,27,0,68
5,2,28,0,68
5,2,29,0,68
5,2,30,0,68
5,2,31,0,68
5,2,32,0,68
5,2,33,0,68
5,2,34,0,68
5,2,35,0,68
5,2,36,0,68
5,2,37,0,68
5,2,38,0,68
5,2,39,0,68
5,2,40,0,68
5,2,41,0,68
5,2,42,0,68
5,2,43,0,68
5,2,44,0,68
5,2,45,0,68
5,2,46,0,68
5,2,47,0,68
5,2,48,0,68
5,2,49,0,68
5,2,50,0,68
5,2,51,0,68
5,2,52,0,68
5,2,53,0,68
5,2,54,0,68
5,2,55,0,68
5,2,56,0,68
5,2,57,0,68
5,2,58,0,68
5,2,59,0,68
5,2,60,0,68
5,2,61,0,68
5,2,62,0,68
5,2,63,0,68
5,3,0,0,64.3333
5,3,1,0,64.3333
5,3,2,0,64.3333
5,3,3,0,64.3333
5,3,4,0,64.3333
5,3,5,57,64.3333
5,3,6,136,64.3333
5,3,7,0,64.3333
5,3,8,0,64.3333
5,3,9,0,64.3333
5,3,10,0,64.3333
5,3,11,0,64.3333
5,3,12,0,64.3333
5,3,13,0,64.3333
5,3,14,0,64.3333
5,3,15,0,64.3333
5,3,16,0,64.3333
5,3,17,0,64.3333
5,3,18,0,64.3333
5,3,19,0,64.3333
5,3,20,0,64.3333
5,3,21,0,64.3333
5,3,22,0,64.3333
5,3,23,0,64.3333
5,3,24,0,64.3333
5,3,25,0,64.3333
5,3,26,0,64.3333
5,3,27,0,64.3333
5,3,28,0,64.3333
5,3,29,0,64.3333
5,3,30,0,64.3333
5,3,31,0,64.3333
5,3,32,0,64.3333
5,3,33,0,64.3333
5,3,34,0,64.3333
5,3,35,0,64.3333
5,3,36,0,64.3333
5,3,37,0,64.3333
5,3,38,0,64.3333
5,3,39,0,64.3333
5,3,40,0,64.3333
5,3,41,0,64.3333
5,3,42,0,64.3333
5,3,43,0,64.3333
5,3,44,0,64.3333
5,3,45,0,64.3333
5,3,46,0,64.3333
5,3,47,0,64.3333
5,3,48,0,64.3333
5,3,49,0,64.3333
5,3,50,0,64.3333
5,3,51,0,64.3333
5,3,52,0,64.3333
5,3,53,0,64.3333
5,3,54,0,64.3333
5,3,55,0,64.3333
5,3,56,0,64.3333
5,3,57,0,64.3333
5,3,58,0,64.3333
5,3,59,0,64.3333
5,3,60,0,64.3333
5,3,61,0,64.3333
5,3,62,0,64.3333
5,3,63,0,64.3333
5,4,0,0,67.25
5,4,1,0,67.25
5,4,2,0,67.25
5,4,3,0,67.25
5,4,4,0,67.25
5,4,5,57,67.25
5,4,6,212,67.25
5,4,7,0,67.25
5,4,8,0,67.25
5,4,9,0,67.25
5,4,10,0,67.25
5,4,11,0,67.25
5,4,12,0,67.25
5,4,13,0,67.25
5,4,14,0,67.25
5,4,15,0,67.25
5,4,16,0,67.25
5,4,17,0,67.25
5,4,18,0,67.25
5,4,19,0,67.25
5,4,20,0,67.25
5,4,21,0,67.25
5,4,22,0,67.25
5,4,23,0,67.25
5,4,24,0,67.25
5,4,25,0,67.25
5,4,26,0,67.25
5,4,27,0,67.25
5,4,28,0,67.25
5,4,29,0,67.25
5,4,30,0,67.25
5,4,31,0,67.25
5,4,32,0,67.25
5,4,33,0,67.25
5,4,34,0,67.25
5,4,35,0,67.25
5,4,36,0,67.25
5,4,37,0,67.25
5,4,38,0,67.25
5,4,39,0,67.25
5,4,40,0,67.25
5,4,41,0,67.25
5,4,42,0,67.25
5,4,43,0,67.25
5,4,44,0,67.25
5,4,45,0,67.25
5,4,46,0,67.25
5,4,47,0,67.25
5,4,48,0,67.25
5,4,49,0,67.25
5,4,50,0,67.25
5,4,51,0,67.25
5,4,52,0,67.25
5,4,53,0,67.25
5,4,54,0,67.25
5,4,55,0,67.25
5,4,56,0,67.25
5,4,57,0,67.25
5,4,58,0,67.25
5,4,59,0,67.25
5,4,60,0,67.25
5,4,61,0,67.25
5,4,62,0,67.25
5,4,63,0,67.25
5,5,0,0,55.8
5,5,1,0,55.8
5,5,2,0,55.8
5,5,3,0,55.8
5,5,4,0,55.8
5,5,5,57,55.8
5,5,6,222,55.8
5,5,7,0,55.8
5,5,8,0,55.8
5,5,9,0,55.8
5,5,10,0,55.8
5,5,11,0,55.8
5,5,12,0,55.8
5,5,13,0,55.8
5,5,14,0,55.8
5,5,15,0,55.8
5,5,16,0,55.8
5,5,17,0,55.8
5,5,18,0,55.8
5,5,19,0,55.8
5,5,20,0,55.8
5,5,21,0,55.8
5,5,22,0,55.8
5,5,23,0,55.8
5,5,24,0,55.8
5,5,25,0,55.8
5,5,26,0,55.8
5,5,27,0,55.8
5,5,28,0,55.8
5,5,29,0,55.8
5,5,30,0,55.8
5,5,31,0,55.8
5,5,32,0,55.8
5,5,33,0,55.8
5,5,34,0,55.8
5,5,35,0,55.8
5,5,36,0,55.8
5,5,37,0,55.8
5,5,38,0,55.8
5,5,39,0,55.8
5,5,40,0,55.8
5,5,41,0,55.8
5,5,42,0,55.8
5,5,43,0,55.8
5,5,44,0,55.8
5,5,45,0,55.8
5,5,46,0,55.8
5,5,47,0,55.8
5,5,48,0,55.8
5,5,49,0,55.8
5,5,50,0,55.8
5,5,51,0,55.8
5,5,52,0,55.8
5,5,53,0,55.8
5,5,54,0,55.8
5,5,55,0,55.8
5,5,56,0,55.8
5,5,57,0,55.8
5,5,58,0,55.8
5,5,59,0,55.8
5,5,60,0,55.8
5,5,61,0,55.8
5,5,62,0,55.8
5,5,63,0,55.8
5,6,0,0,64.6667
5,6,1,0,64.6667
5,6,2,0,64.6667
5,6,3,0,64.6667
5,6,4,0,64.6667
5,6,5,57,64.6667
5,6,6,331,64.6667
5,6,7,0,64.6667
5,6,8,0,64.6667
5,6,9,0,64.6667
5,6,10,0,64.6667
5,6,11,0,64.6667
5,6,12,0,64.6667
5,6,13,0,64.6667
5,6,14,0,64.6667
5,6,15,0,64.6667
5,6,16,0,64.6667
5,6,17,0,64.6667
5,6,18,0,64.6667
5,6,19,0,64.6667
5,6,20,0,64.6667
5,6,21,0,64.6667
5,6,22,0,64.6667
5,6,23,0,64.6667
5,6,24,0,64.6667
5,6,25,0,64.6667
5,6,26,0,64.6667
5,6,27,0,64.6667
5,6,28,0,64.6667
5,6,29,0,64.6667
5,6,30,0,64.6667
5,6,31,0,64.6667
5,6,32,0,64.6667
5,6,33,0,64.6667
5,6,34,0,64.6667
5,6,35,0,64.6667
5,6,36,0,64.6667
5,6,37,0,64.6667
5,6,38,0,64.6667
5,6,39,0,64.6667
5,6,40,0,64.6667
5,6,41,0,64.6667
5,6,42,0,64.6667
5,6,43,0,64.6667
5,6,44,0,64.6667
5,6,45,0,64.6667
5,6,46,0,64.6667
5,6,47,0,64.6667
5,6,48,0,64.6667
5,6,49,0,64.6667
5,6,50,0,64.6667
5,6,51,0,64.6667
5,6,52,0,64.6667
5,6,53,0,64.6667
5,6,54,0,64.6667
5,6,55,0,64.6667
5,6,56,0,64.6667
5,6,57,0,64.6667
5,6,58,0,64.6667
5,6,59,0,64.6667
5,6,60,0,64.6667
5,6,61,0,64.6667
