Shot Number,Number of events (secondary e.),Anode ID,Electrons in wire,Gas amplification  coefficient
1,1,0,0,1
1,1,1,0,1
1,1,2,0,1
1,1,3,0,1
1,1,4,0,1
1,1,5,0,1
1,1,6,0,1
1,1,7,0,1
1,1,8,0,1
1,1,9,0,1
1,1,10,0,1
1,1,11,0,1
1,1,12,0,1
1,1,13,0,1
1,1,14,0,1
1,1,15,0,1
1,1,16,0,1
1,1,17,0,1
1,1,18,0,1
1,1,19,0,1
1,1,20,0,1
1,1,21,0,1
1,1,22,0,1
1,1,23,0,1
1,1,24,0,1
1,1,25,0,1
1,1,26,0,1
1,1,27,0,1
1,1,28,0,1
1,1,29,0,1
1,1,30,0,1
1,1,31,0,1
1,1,32,0,1
1,1,33,0,1
1,1,34,0,1
1,1,35,1,1
1,1,36,0,1
1,1,37,0,1
1,1,38,0,1
1,1,39,0,1
1,1,40,0,1
1,1,41,0,1
1,1,42,0,1
1,1,43,0,1
1,1,44,0,1
1,1,45,0,1
1,1,46,0,1
1,1,47,0,1
1,1,48,0,1
1,1,49,0,1
1,1,50,0,1
1,1,51,0,1
1,1,52,0,1
1,1,53,0,1
1,1,54,0,1
1,1,55,0,1
1,1,56,0,1
1,1,57,0,1
1,1,58,0,1
1,1,59,0,1
1,1,60,0,1
1,1,61,0,1
1,1,62,0,1
1,1,63,0,1
2,1,0,0,1
2,1,1,0,1
2,1,2,0,1
2,1,3,0,1
2,1,4,0,1
2,1,5,0,1
2,1,6,0,1
2,1,7,0,1
2,1,8,0,1
2,1,9,0,1
2,1,10,0,1
2,1,11,0,1
2,1,12,0,1
2,1,13,0,1
2,1,14,0,1
2,1,15,0,1
2,1,16,0,1
2,1,17,0,1
2,1,18,0,1
2,1,19,0,1
2,1,20,0,1
2,1,21,0,1
2,1,22,0,1
2,1,23,0,1
2,1,24,0,1
2,1,25,0,1
2,1,26,0,1
2,1,27,0,1
2,1,28,0,1
2,1,29,0,1
2,1,30,0,1
2,1,31,0,1
2,1,32,0,1
2,1,33,0,1
2,1,34,0,1
2,1,35,1,1
2,1,36,0,1
2,1,37,0,1
2,1,38,0,1
2,1,39,0,1
2,1,40,0,1
2,1,41,0,1
2,1,42,0,1
2,1,43,0,1
2,1,44,0,1
2,1,45,0,1
2,1,46,0,1
2,1,47,0,1
2,1,48,0,1
2,1,49,0,1
2,1,50,0,1
2,1,51,0,1
2,1,52,0,1
2,1,53,0,1
2,1,54,0,1
2,1,55,0,1
2,1,56,0,1
2,1,57,0,1
2,1,58,0,1
2,1,59,0,1
2,1,60,0,1
2,1,61,0,1
2,1,62,0,1
2,1,63,0,1
5,1,0,0,1
5,1,1,0,1
5,1,2,0,1
5,1,3,0,1
5,1,4,0,1
5,1,5,0,1
5,1,6,0,1
5,1,7,0,1
5,1,8,0,1
5,1,9,0,1
5,1,10,0,1
5,1,11,0,1
5,1,12,0,1
5,1,13,0,1
5,1,14,0,1
5,1,15,0,1
5,1,16,0,1
5,1,17,0,1
5,1,18,0,1
5,1,19,0,1
