Shot Number,Number of events (secondary e.),Anode ID,Electrons in wire,Gas amplification  coefficient
73,1,0,0,6541
73,1,1,0,6541
73,1,2,0,6541
73,1,3,0,6541
73,1,4,0,6541
73,1,5,0,6541
73,1,6,0,6541
73,1,7,0,6541
73,1,8,0,6541
73,1,9,0,6541
73,1,10,0,6541
73,1,11,0,6541
73,1,12,0,6541
73,1,13,0,6541
73,1,14,0,6541
73,1,15,0,6541
73,1,16,0,6541
73,1,17,0,6541
73,1,18,0,6541
73,1,19,0,6541
73,1,20,0,6541
73,1,21,0,6541
73,1,22,0,6541
73,1,23,0,6541
73,1,24,0,6541
73,1,25,0,6541
73,1,26,0,6541
73,1,27,0,6541
73,1,28,0,6541
73,1,29,0,6541
73,1,30,0,6541
73,1,31,0,6541
73,1,32,0,6541
73,1,33,0,6541
73,1,34,0,6541
73,1,35,0,6541
73,1,36,0,6541
73,1,37,0,6541
73,1,38,0,6541
73,1,39,6541,6541
73,1,40,0,6541
73,1,41,0,6541
73,1,42,0,6541
73,1,43,0,6541
73,1,44,0,6541
73,1,45,0,6541
73,1,46,0,6541
73,1,47,0,6541
73,1,48,0,6541
73,1,49,0,6541
73,1,50,0,6541
73,1,51,0,6541
73,1,52,0,6541
73,1,53,0,6541
73,1,54,0,6541
73,1,55,0,6541
73,1,56,0,6541
73,1,57,0,6541
73,1,58,0,6541
73,1,59,0,6541
73,1,60,0,6541
73,1,61,0,6541
73,1,62,0,6541
73,1,63,0,6541
73,2,0,0,5879
73,2,1,0,5879
73,2,2,0,5879
73,2,3,0,5879
73,2,4,0,5879
73,2,5,0,5879
73,2,6,0,5879
73,2,7,0,5879
73,2,8,0,5879
73,2,9,0,5879
73,2,10,0,5879
73,2,11,0,5879
73,2,12,0,5879
73,2,13,0,5879
73,2,14,0,5879
73,2,15,0,5879
73,2,16,0,5879
73,2,17,0,5879
73,2,18,0,5879
73,2,19,0,5879
73,2,20,0,5879
73,2,21,0,5879
73,2,22,0,5879
73,2,23,0,5879
73,2,24,0,5879
73,2,25,0,5879
73,2,26,0,5879
73,2,27,0,5879
73,2,28,0,5879
73,2,29,0,5879
73,2,30,0,5879
73,2,31,0,5879
73,2,32,0,5879
73,2,33,0,5879
73,2,34,0,5879
73,2,35,0,5879
73,2,36,0,5879
73,2,37,0,5879
73,2,38,0,5879
73,2,39,11758,5879
73,2,40,0,5879
73,2,41,0,5879
73,2,42,0,5879
73,2,43,0,5879
73,2,44,0,5879
73,2,45,0,5879
73,2,46,0,5879
73,2,47,0,5879
73,2,48,0,5879
73,2,49,0,5879
73,2,50,0,5879
73,2,51,0,5879
73,2,52,0,5879
73,2,53,0,5879
73,2,54,0,5879
73,2,55,0,5879
73,2,56,0,5879
73,2,57,0,5879
73,2,58,0,5879
73,2,59,0,5879
73,2,60,0,5879
73,2,61,0,5879
73,2,62,0,5879
73,2,63,0,5879
73,3,0,0,6663.67
73,3,1,0,6663.67
73,3,2,0,6663.67
73,3,3,0,6663.67
73,3,4,0,6663.67
73,3,5,0,6663.67
73,3,6,0,6663.67
73,3,7,0,6663.67
73,3,8,0,6663.67
73,3,9,0,6663.67
73,3,10,0,6663.67
73,3,11,0,6663.67
73,3,12,0,6663.67
73,3,13,0,6663.67
73,3,14,0,6663.67
73,3,15,0,6663.67
73,3,16,0,6663.67
73,3,17,0,6663.67
73,3,18,0,6663.67
73,3,19,0,6663.67
73,3,20,0,6663.67
73,3,21,0,6663.67
73,3,22,0,6663.67
73,3,23,0,6663.67
73,3,24,0,6663.67
73,3,25,0,6663.67
73,3,26,0,6663.67
73,3,27,0,6663.67
73,3,28,0,6663.67
73,3,29,0,6663.67
